tambahbrelet,,
B. Sc (Hons) in Maritime Business with Fisheries Technology,00381,2
B. Sc (Hons) in Maritime Business with Hydrography,00382,2
B. Sc (Hons) in Maritime Business with Marine Navigation,00383,2
B. Sc (Hons) in Maritime Business with Maritime History,00384,2
B. Sc (Hons) in Maritime Business with Maritime Law,00385,2
B. Sc (Hons) in Maritime Business with Ocean Science,00386,2
B. Sc (Hons) in Maritime Business with Transport,00387,2
B. Sc (Hons) in Maritime Business with Underwater Studies,00388,2
B. Sc (Hons) in Materials Genetics,00389,2
B. Sc (Hons) in Mathematics and Computer Science,00390,2
B. Sc (Hons) in Mathematics and Economics,00391,2
B. Sc (Hons) in Mathematics and Management Studies,00392,2
B. Sc (Hons) in Mathematics and Philosophy,00393,2
B. Sc (Hons) in Mathematics and Physics,00394,2
B. Sc (Hons) in Mathematics and Psychology,00395,2
B. Sc (Hons) in Mathematics and Surveying and Mapping Science,00396,2
B. Sc (Hons) in Mathematics Physics,00397,2
B. Sc (Hons) in Mathematics with Astronomy,00398,2
B. Sc (Hons) in Mathematics with Chemistry,00399,2
B. Sc (Hons) in Mathematics with Computing,00400,2
B. Sc (Hons) in Mathematics with Ecology,00401,2
B. Sc (Hons) in Mathematics with Environmental Biology,00402,2
B. Sc (Hons) in Mathematics with Human Biology,00403,2
B. Sc (Hons) in Mathematics with Microbiology,00404,2
B. Sc (Hons) in Mathematics with Ocean Science,00405,2
B. Sc (Hons) in Mathematics with Plant Sciences,00406,2
"B. Sc (Hons) in Mathematics with Resource, Manufacturing and the Environment",00407,2
B. Sc (Hons) in Media Lab Arts,00408,2
B. Sc (Hons) in Medical Material Science,00409,2
B. Sc (Hons) in Medicinal Chemistry,00410,2
B. Sc (Hons) in Microbial with Cellular Biology,00411,2
B. Sc (Hons) in Microbiolgy with Statistics,00412,2
B. Sc (Hons) in Microbiology with Chemistry,00413,2
B. Sc (Hons) in Microbiology with Computing,00414,2
B. Sc (Hons) in Microbiology with Marine Biology,00415,2
B. Sc (Hons) in Microbiology with Mathematics,00416,2
B. Sc (Hons) in Nutrition,00417,2
B. Sc (Hons) in Nutrition Biochemistry,00418,2
B. Sc (Hons) in Nutrition with European Studies,00419,2
B. Sc (Hons) in Nutritional Biochemistry with European Studies,00420,2
B. Sc (Hons) in Ocean Science with Astronomy,00421,2
B. Sc (Hons) in Ocean Science with Chemistry,00422,2
B. Sc (Hons) in Ocean Science with Computing,00423,2
B. Sc (Hons) in Ocean Science with Environmental Biology,00424,2
B. Sc (Hons) in Ocean Science with Fisheries Economics and Business Studies,00425,2
B. Sc (Hons) in Ocean Science with Fisheries Science,00426,2
B. Sc (Hons) in Ocean Science with Fisheries Technology,00427,2
B. Sc (Hons) in Ocean Science with Geograpy,00428,2
B. Sc (Hons) in Ocean Science with Geology,00429,2
B. Sc (Hons) in Ocean Science with Hydrography,00430,2
B. Sc (Hons) in Ocean Science with Languages,00431,2
B. Sc (Hons) in Ocean Science with Marine Biology,00432,2
B. Sc (Hons) in Ocean Science with Marine Navigation,00433,2
B. Sc (Hons) in Ocean Science with Maritime Business,00434,2
B. Sc (Hons) in Ocean Science with Maritime History,00435,2
B. Sc (Hons) in Ocean Science with Maritime Law,00436,2
B. Sc (Hons) in Ocean Science with Maritime Technology,00437,2
B. Sc (Hons) in Ocean Science with Mathematics,00438,2
B. Sc (Hons) in Ocean Science with Underwater Studies,00439,2
B. Sc (Hons) in Physics and Philosophy,00440,2
B. Sc (Hons) in Physics and Surveying and Mapping Science,00441,2
B. Sc (Hons) in Physics with European Languages,00442,2
B. Sc (Hons) in Physics with Medical Physics,00443,2
B. Sc (Hons) in Plant and Crop Science,00444,2
B. Sc (Hons) in Plant and Crop Science with European Studies,00445,2
B. Sc (Hons) in Plant Life Science  ,00446,2
B. Sc (Hons) in Plant Sciences with Chemistry,00447,2
B. Sc (Hons) in Plant Sciences with Computing,00448,2
B. Sc (Hons) in Plant Sciences with Geography,00449,2
B. Sc (Hons) in Plant Sciences with Mathematics,00450,2
B. Sc (Hons) in Plant Sciences with Statistics,00451,2
B. Sc (Hons) in Politics with Computing,00452,2
B. Sc (Hons) in Politics with Criminal Justice,00453,2
B. Sc (Hons) in Politics with Economics (Applied),00454,2
B. Sc (Hons) in Politics with Geography,00455,2
B. Sc (Hons) in Politics with Languages,00456,2
B. Sc (Hons) in Politics with Law,00457,2
B. Sc (Hons) in Politics with Psychology,00458,2
"B. Sc (Hons) in Politics with Resources, Manufacturing and the Environment",00459,2
B. Sc (Hons) in Politics with Social Policy,00460,2
B. Sc (Hons) in Politics with Sociology,00461,2
B. Sc (Hons) in Politics with Statistics,00462,2
B. Sc (Hons) in Politics with Transport,00463,2
B. Sc (Hons) in Production and Operational Management,00464,2
B. Sc (Hons) in Production and Operational Management with French,00465,2
B. Sc (Hons) in Production and Operational Management with German,00466,2
B. Sc (Hons) in Production and Operational Management with Russian,00467,2
B. Sc (Hons) in Production and Operational Management with Spanish,00468,2
B. Sc (Hons) in Production and Operationl Management with Japanese,00469,2
B. Sc (Hons) in Psychology (Combined),00470,2
B. Sc (Hons) in Psychology and Statistics,00471,2
B. Sc (Hons) in Psychology with Computing,00472,2
B. Sc (Hons) in Psychology with Criminal Justice,00473,2
B. Sc (Hons) in Psychology with Economics (Applied),00474,2
B. Sc (Hons) in Psychology with Human Biology,00475,2
B. Sc (Hons) in Psychology with Languages,00476,2
B. Sc (Hons) in Psychology with Law,00477,2
B. Sc (Hons) in Psychology with Politics,00478,2
"B. Sc (Hons) in Psychology with Resources, Manufacturing and the Environment",00479,2
B. Sc (Hons) in Psychology with Social Policy,00480,2
B. Sc (Hons) in Psychology with Sociology,00481,2
B. Sc (Hons) in Psychology with Statistics,00482,2
B. Sc (Hons) in Psysics  with Medical Applications,00483,2
B. Sc (Hons) in Robotics and Automated Systems,00484,2
B. Sc (Hons) in Social Policy and Administration,00485,2
B. Sc (Hons) in Social Policy and Plus Diploma in Community Work,00486,2
B. Sc (Hons) in Social Policy with Criminal Justice,00487,2
B. Sc (Hons) in Social Policy with Economics (Applied),00488,2
B. Sc (Hons) in Social Policy with Geography,00489,2
B. Sc (Hons) in Social Policy with Languages,00490,2
B. Sc (Hons) in Social Policy with Law,00491,2
B. Sc (Hons) in Social Policy with Politics,00492,2
B. Sc (Hons) in Social Policy with Psychology,00493,2
B. Sc (Hons) in Social Policy with Sociology,00494,2
B. Sc (Hons) in Social Policy with Statistics,00495,2
B. Sc (Hons) in Social Work with Social Policy Plus Diploma in Social Work,00496,2
