Bil.,NAMA IPT,"KATEGORI PPT
(IPTA/ IPTS)",,NEGARA,
,"AVERETT UNIVERSITY/ AVERETT COLLEGE, DANVILLE, VIRGINIA",2,00180,,Both
,"AVILA COLLEGE, KANSAS CITY, MISSOURI",2,00181,,Both
,AVON AND GLOUCESTERSHIRE COLLEGE OF HEALTH,2,00182,,Both
,"AZUSA PACIFIC UNIVERSITY, AZUSA, CALIFORNIA",2,00183,,Both
,"BABSON COLLEGE, BABSON PARK, MASSACHUSETTS",2,00184,,Both
,"BAKER COLLEGE, JEWELL COLLEGE SYSTEM, MICHIGAN",2,00185,,Both
,"BAKER UNIVERSITY, BALDWIN CITY, KANSAS",2,00186,,Both
,"BALDWIN-WALLACE COLLEGE, BEREA, OHIO",2,00187,,Both
,"BALL STATE UNIVERSITY, MUNCIE, INDIANA",2,00188,,Both
,"BALTIMORE COLLEGE OF DENTAL SURGERY, UNIVERSITY OF MARYLAND, BALTIMORE",2,00189,,Both
,"BALTIMORE HEBREW UNIVERSITY, BALTIMORE, MARYLAND",2,00190,,Both
,BANARAS HINDU UNIVERSITY,2,00191,,Both
,BANGLADESH AGRICULTURE UNIVERSITY,2,00192,,Both
,BANGOR NORMAL COLLEGE,2,00193,,Both
,"BANGOR UNIVERSITY / UNIVERSITY OF WALES, BANGOR",2,00194,,Both
,"BAPTIST BIBLE COLLEGE SEMINARY, PENNSYLVANIA",2,00195,,Both
,"BAPTIST BIBLE COLLEGE, SPRINGFIELD, MISSOURI",2,00196,,Both
,"BAPTIST MISSIONARY ASSOCIATION THEOLOGICAL SEMINARY, JACKSONVILLE, TEXAS",2,00197,,Both
,"BAPUJI DENTAL COLLEGE & HOSPITAL, DANVANGERE, KARNATAKA",2,00198,,Both
,"BARAT COLLEGE, LAKE FOREST, ILLINOIS",2,00199,,Both
,"BARBER-SCOTIA COLLEGE, CONCORD, NORTH CAROLINA",2,00200,,Both
,"BARCLAY COLLEGE, HAVILAND, KANSAS",2,00201,,Both
,"BARD COLLEGE, ANNANDALE-ON-HUDSON, NEW YORK",2,00202,,Both
,BARKATULLAH UNIVERSITY (BARKATULLAH VISHWAHIDYALAYA BHOPAL) (formely known as Bhopal University),2,00203,,Both
,"BARNARD COLLEGE, NEW YORK CITY, NEW YORK",2,00204,,Both
,"BARRY UNIVERSITY, MIAMI, FLORIDA",2,00205,,Both
