KOD IPT,KOD  PROGRAM (5 digit),KOD PERINGKAT Kelulusan,Kod Kategori
00168,09305,4,2
00168,10928,4,2
00169,04382,4,2
00169,09355,4,2
00169,09363,4,2
00169,09815,4,2
00169,10107,4,2
00169,10219,4,2
00169,10319,4,2
00169,10505,4,2
00169,11474,4,2
00169,11518,4,2
00170,04400,4,2
00170,09164,4,2
00170,10928,4,2
00171,04400,4,2
00171,09164,4,2
00171,10928,4,2
00172,04400,4,2
00172,09164,4,2
00172,10928,4,2
00173,04400,4,2
00173,10928,4,2
00174,04400,4,2
00174,10928,4,2
00175,04400,4,2
00175,10928,4,2
00176,04400,4,2
00176,09164,4,2
00176,10928,4,2
00177,09122,4,2
00177,09138,4,2
00177,09345,4,2
00177,10515,4,2
00177,10828,4,2
00177,10900,4,2
00177,11414,4,2
00177,11435,4,2
00177,11448,4,2
00177,11462,4,2
00177,11495,4,2
00177,11522,4,2
00178,04292,4,2
00178,04425,4,2
00178,04432,4,2
00178,04435,4,2
00178,04480,4,2
00178,04481,4,2
00178,04491,4,2
00178,09023,4,2
00178,09082,4,2
00178,09111,4,2
00178,09131,4,2
00178,09136,4,2
00178,09314,4,2
00178,09315,4,2
00178,09316,4,2
00178,09336,4,2
00178,09763,4,2
00178,09825,4,2
00178,09952,4,2
00178,09957,4,2
00178,09969,4,2
00178,10003,4,2
00178,10011,4,2
00178,10212,4,2
00178,10243,4,2
00178,10265,4,2
00178,10296,4,2
00178,10357,4,2
00178,10381,4,2
00178,10382,4,2
00178,10394,4,2
00178,10402,4,2
00178,10466,4,2
00178,10515,4,2
00178,10631,4,2
00178,10803,4,2
00178,10805,4,2
00178,10816,4,2
00178,10817,4,2
00178,10820,4,2
00178,10821,4,2
00178,10826,4,2
00178,10877,4,2
00178,10878,4,2
00178,10907,4,2
00178,11009,4,2
00178,11233,4,2
00178,11234,4,2
00178,11247,4,2
00178,11256,4,2
00179,10738,4,2
00180,04400,4,2
00180,10928,4,2
00181,04400,4,2
00181,10928,4,2
00182,02075,4,2
00182,02076,4,2
00182,02077,4,2
00182,02078,4,2
00182,09227,4,2
00183,04400,4,2
00183,10928,4,2
00184,04400,4,2
00184,10928,4,2
00003,16719,2,2
00003,17018,2,2
00003,17045,2,2
00185,04400,4,2
00185,10928,4,2
00186,04400,4,2
00186,10928,4,2
00187,04400,4,2
00187,09164,4,2
00187,10928,4,2
00188,01666,4,2
00188,04400,4,2
00188,09164,4,2
00188,10928,4,2
00188,20396,6,2
00189,17220,2,2
00190,04400,4,2
00190,10928,4,2
00191,10755,4,2
00191,10863,4,2
00192,11511,4,2
00193,02086,4,2
00193,05120,4,2
00193,05446,4,2
00193,06273,4,2
00193,07655,4,2
00194,03480,4,2
00194,03482,4,2
00194,03498,4,2
00194,03507,4,2
00194,03515,4,2
00194,03518,4,2
00194,03519,4,2
00194,03533,4,2
00194,03557,4,2
00194,03558,4,2
00194,03568,4,2
00194,03569,4,2
00194,03572,4,2
00194,03574,4,2
00194,03580,4,2
00194,03601,4,2
00194,03625,4,2
00194,03626,4,2
00194,03631,4,2
00194,03636,4,2
00194,03641,4,2
00194,03649,4,2
00194,03659,4,2
00194,03661,4,2
00194,03663,4,2
00194,03665,4,2
00194,03666,4,2
00194,03674,4,2
00194,03679,4,2
00194,03680,4,2
00194,03681,4,2
00194,03683,4,2
00194,03684,4,2
00194,04303,4,2
00194,04304,4,2
00194,04601,4,2
00194,05004,4,2
00194,05006,4,2
00194,05845,4,2
00194,06035,4,2
00194,06353,4,2
00194,06532,4,2
00194,06588,4,2
00194,06826,4,2
00194,06986,4,2
00194,07018,4,2
00194,07119,4,2
00194,07153,4,2
00194,07682,4,2
00194,07685,4,2
00194,07736,4,2
00194,07737,4,2
00194,07739,4,2
00194,07822,4,2
00194,07982,4,2
00194,08311,4,2
00194,08342,4,2
00194,08383,4,2
00194,08422,4,2
00194,08479,4,2
00194,08555,4,2
00194,08599,4,2
00194,08626,4,2
00194,08692,4,2
00194,08732,4,2
00194,08932,4,2
00194,08933,4,2
00194,08934,4,2
00194,11806,4,2
00194,11875,4,2
00194,12162,4,2
00194,12168,4,2
00194,12170,4,2
00194,12191,4,2
00194,12193,4,2
00194,12324,4,2
00194,12500,4,2
00194,12501,4,2
00194,12502,4,2
00194,12673,4,2
00194,12674,4,2
